### channel=id33-transformer-recipe-repair seq=46
### host=login4
### started=2026-09-10T09:10:36+0800
### ---------- output ----------
=== STAMP ===
2026-09-10T09:10:36+0800
=== EPOCHWISE MEDIANS ===
###EPOCHS T1 results/33_transformer_recipe_repair/T1/transformer_recipe_repair_T1_2026_0909_1839_ep30
07299670,0.33725428581237793
07301410,-0.01547253131866455
07315200,0.5686619877815247
07315700,0.6780802011489868
07335700,0.6363045573234558
07340300,0.7167665958404541
07346045,0.6617631912231445
07359610,0.6513457298278809
07362100,0.44144803285598755
07362587,0.4257602095603943
07375000,0.4829815626144409
08013000,0.6898753643035889
08014500,0.44595372676849365
08023080,0.4419527053833008
08050800,0.49392855167388916
08066200,0.6662611961364746
08066300,0.45586997270584106
08070000,0.48102933168411255
08070200,0.36902403831481934
08082700,-1.0864262580871582
08086212,0.3475821614265442
08086290,0.5341652631759644
08101000,0.553374171257019
08103900,0.5792456269264221
08104900,0.36128419637680054
08109700,0.5441933274269104
08150800,-0.24195802211761475
08158700,0.14251917600631714
08158810,0.054653286933898926
08164300,0.5278899669647217
08164600,0.5601962804794312
08165300,-9.86301040649414
08171300,0.5202288627624512
08175000,0.5331562757492065
08176900,0.2649211287498474
08178880,0.2654380202293396
08189500,0.39659905433654785
08190000,0.09821659326553345
08190500,-0.010217070579528809
08194200,0.2971543073654175
08195000,0.34647053480148315
08196000,0.43180984258651733
08198500,0.2897568345069885
08200000,0.8031830787658691
08202700,0.34474098682403564
08267500,-0.157448410987854
08269000,0.13556784391403198
08271000,-0.06546008586883545
08324000,0.4672675132751465
08377900,0.5635536313056946
08378500,0.6795797944068909
08380500,0.16434627771377563
09035800,0.8702436089515686
09035900,0.9361995458602905
09047700,0.8298206329345703
09065500,0.9232532978057861
09066000,0.949635922908783
09066200,0.9087153673171997
09066300,0.8695493936538696
09081600,0.8220406174659729
09107000,0.8638757467269897
09210500,0.8077795505523682
09223000,0.810124397277832
09306242,0.11632579565048218
09312600,0.5396397113800049
09352900,0.6629375219345093
09378170,0.38001132011413574
09386900,0.01391690969467163
09404450,-2.9668262004852295
09430600,0.029342949390411377
09447800,-2.0095736980438232
09484600,0.039997756481170654
09492400,0.15787851810455322
09494000,0.380038321018219
09497980,0.6236165761947632
09505350,0.3232439160346985
09505800,0.6433166861534119
09508300,0.18054091930389404
09510200,0.4049840569496155
09512280,0.28354793787002563
09513780,-0.06359636783599854
10234500,0.3255763649940491
10244950,-0.16594219207763672
10259000,0.4783400297164917
10336645,0.661695659160614
10336660,0.921139121055603
10343500,-0.19320893287658691
11124500,0.6965170502662659
11141280,-0.7317473888397217
11143000,0.27598685026168823
11148900,0.47001975774765015
11151300,-2.0034563541412354
11176400,0.4733741283416748
11230500,0.6539216637611389
11237500,0.9029366374015808
11264500,0.9200684428215027
11266500,0.9069907665252686
11284400,0.2128814458847046
11381500,0.4510905146598816
11451100,0.6851926445960999
11468500,0.7918662428855896
11473900,0.6970030665397644
11475560,0.6895114183425903
11476600,0.840765118598938
11478500,0.7102844715118408
11480390,0.5989881753921509
11481200,0.8321722745895386
11482500,0.9196428656578064
11522500,0.678589403629303
11523200,0.6851965188980103
11528700,0.5772547721862793
11532500,0.9036754965782166
12010000,0.8602340817451477
12013500,0.8339429497718811
12020000,0.31791818141937256
12025700,0.7800629734992981
12035000,0.807732105255127
12040500,0.7405527830123901
12041200,0.7268509864807129
12048000,0.7314391136169434
12054000,0.7403783798217773
12056500,0.637103796005249
12073500,0.7351182103157043
12082500,0.7268435955047607
12092000,0.7372583746910095
12114500,0.6670722365379333
12115000,0.7315746545791626
12117000,0.7468215823173523
12143600,0.7390921115875244
12144000,0.780203104019165
12145500,0.8146040439605713
12147500,0.7105530500411987
12167000,0.5556671619415283
12175500,0.8093581199645996
12178100,0.7447124719619751
12186000,0.7348570823669434
12189500,0.6815747022628784
12375900,0.7662453651428223
12377150,0.8245993852615356
12381400,0.8219422698020935
12383500,0.7976303696632385
12390700,0.6052684783935547
12411000,0.46643441915512085
12447390,0.5801420211791992
12451000,0.8326730132102966
12488500,0.692348301410675
13011500,0.8545970320701599
13011900,0.7598982453346252
13018300,0.5832433700561523
13023000,0.8997179269790649
13161500,0.752453088760376
13235000,0.8007959127426147
13240000,0.8637721538543701
13313000,0.8438475131988525
13331500,0.8020968437194824
14020000,0.27682065963745117
14096850,0.35133063793182373
14137000,0.6907113790512085
14138800,0.6898543834686279
14138870,0.763030469417572
14138900,0.6839526891708374
14139800,0.7932762503623962
14141500,0.7773156762123108
14154500,0.7825554609298706
14158790,0.591299831867218
14166500,0.8700090646743774
14182500,0.6873555183410645
14185000,0.7795888781547546
14185900,0.7314690351486206
14187000,0.8273188471794128
14216500,0.5401044487953186
14222500,0.8376144170761108
14236200,0.7735487222671509
14301000,0.8804242610931396
14303200,0.7442301511764526
14305500,0.8272993564605713
14306340,0.800247848033905
14306500,0.8552902936935425
14308990,0.8166794776916504
